Title,Subtitle,Ingredients,Cooking tools,Instructions
No-Chicken Kabobs w/ Pineapple and Jalapeno Sauce,Prep+Cooking time: 1 hour  Servings: 2,Sauce: 2 cups pineapple 2 jalapenos seeded 4 garlic cloves 4 tbsp coconut aminos 1 tsp smoked paprika Vegetables: ½ red pepper diced ½ yellow pepper diced ½ orange pepper diced 2 zucchinis cut into large chunks 1 pound oyster mushrooms  1 pint of cherry or grape tomatoes Smoked Chipotle to taste 3 cups cooked quinoa ,Baking sheet Parchment paper Knife High-speed blender ,PREPARE THE SAUCE Prepare your sauce by combining all the sauce ingredients in a high speed blender. Blend until smooth. MAKE KABOBS Arrange an assortment of veggies and mushrooms on your skewers. Place skewers on a parchment lined baking sheet. Brush generously with sauce. Sprinkle kabobs with smoked chipotle seasoning. BAKE AND SERVE Bake at 400 F for 20 minutes. Add to a bed of prepared quinoa. Top with extra sauce and chipotle seasoning if desired. Enjoy! 
Carrot Cake,Prep+Cooking time: 1 hour Yields: 1 9” cake,Wet: 1 cup carrot puree (to make purée steam 2 medium carrots until soft and purée in a blender or food processor until smooth) 2 flax eggs (2 tbsp ground flax mixed with 6 tbsp water) ¾ cup date syrup 1/4 cup plant milk 1 tbsp apple cider vinegar 1 ½ tsp vanilla 1 ½ cups grated carrots Dry:  2 ¼ cups oat flour  1 ½ cups almond flour 2 tsp baking powder ½ tsp baking soda  1/4 tsp salt 1 ½ tsp cinnamon ⅛ tsp cloves ¼ tsp nutmeg Cream Cheese Frosting  1 ½ cup raw cashews (soaked for min.2 hrs) ½ cup coconut milk or cream 2 tbsp lemon juice 6 soft pitted medjool dates 1 tsp vanilla extract ,9” cake pan Mixing bowls ,"Preheat the oven to 350 F. Line a 9” pan with parchment paper. WET INGREDIENTS In a bowl combine all the wet ingredients and mix. DRY INGREDIENTS   In a separate bowl combine all the dry ingredients and mix. COMBINE WET AND DRY INGREDIENTS Pour the wet ingredients into the dry ingredients and mix to combine. Pour batter into the prepared pan. Bake for 25-30 minutes, or until a toothpick inserted in the center comes out clean.  Allow to cool on a cooling rack. MAKE THE FROSTING Combine all ingredients into a high-speed blender. Blend until smooth.  FINISH AND SERVE Once the cake has cooled completely, smooth frosting onto the cake, sprinkle with cinnamon and chopped walnuts. Enjoy! "
Chocolate Frosted Carob Brownies,Prep+Cooking time: 45 minutes Yields: 1 8” pan,1 ¼ cup  (1 15 oz. can) chickpeas  ⅓ cup tahini ⅓ cup date syrup  2 tbsp water ½ tbsp vanilla extract or 1 tsp vanilla bean powder ¼ tsp baking soda  ¼ tsp baking powder ½ tsp salt 1/4 cup tiger nut flour 1/3 cup carob powder* Note: For a chocolate brownie use  1/4 cup cocoa/cacao powder in place of the carob powder. FROSTING 1 cup pitted medjool dates (about 6–7 large) 1/2 cup hot water 1/4 cup cocoa powder 1 tablespoon tahini 1/4 teaspoon salt ,8x8” pan Parchment paper Food processor  High-speed blender ,"Preheat the oven to 350 F. PREPARE BROWNIE BATTER Start by processing chickpeas, tahini, date syrup, and water until smooth. Once it’s smooth add all your dry ingredients except for the baking powder and soda. Blend again to combine. Now add the baking soda and powder and blend one last time until just combined. BAKE  Transfer the batter to a parchment lined 8x8 inch pan. Smooth top and bake for 20-25 minutes. PREPARE FROSTING Combine soft medjool dates and water in a high-speed blender. Blend until completely smooth. Scraping the sides as necessary. Add cocoa powder and tahini and blend until smooth, scraping down the sides as necessary.  FINISH AND SERVE Spread over cooled brownies. Enjoy! "
No-Chick’n Alfredo Lasagna (NF option),Prep+Cooking time: 1 hour 15 minutes Servings: 8 ,500g of Chickpea Lasagna Noodles noodles 1 cup Bread Crumbs Sauce: 2 medium heads of cauliflower ½ cup raw cashews (soaked for min. 2 hours) (Nut free use hemp seeds) 1 yellow onion 6 cloves garlic 4 cups broth or water 1 tbsp miso paste ¼ cup nutritional yeast 1 tbsp lemon juice 3 tsp salt 1 tbsp coconut aminos Veggie “Chick’n”: 1 lbs fresh oyster mushrooms 2 tsp parsley 1/2 tsp thyme 1/2 tsp oregano 1 tsp smoked paprika 1 tsp garlic powder 1/2 tsp onion  1/2 tsp mustard Salt to taste  Vegan Ricotta and Spinach: 2.5 cups vegan ricotta  1 5 oz. box spinach 1 tsp garlic ½ tsp salt Pepper to taste OPTIONAL TO MAKE YOUR OWN… HV Almond Bread Crumbs HV Ricotta ,9x13 inch pan Pots Cast iron skillet Mixing Bowl ,"PREPARE THE OYSTER MUSHROOMS Add mushrooms to pan on medium-high heat.  Cook until water from mushrooms begins to release. Turn heat to high. Allow mushrooms to cook until water has cooked off and mushrooms begin to brown on some spots. Add seasonings and a splash of broth. PREPARE THE SAUCE Steam cauliflower until soft. Saute garlic and onions in 1/4 cup of oil free vegetable broth until soft. Add more broth as necessary to prevent sticking. Add all sauce ingredients to a blender and blend until smooth. COMBINE SPINACH AND RICOTTA Combine steamed spinach, vegan ricotta, garlic, salt, and pepper. LAYER Small amount of sauce Noodles Sauce and half of the oyster mushrooms Noodles Ricotta and spinach Noodles Sauce and other half of the oyster mushrooms Noodles Sauce BAKE AND SERVE Bake at 400 for 20 mins. Top with Almond Bread Crumbs  and parsley. Enjoy! "
Fully Loaded No-Chick’n Enchilada Casserole,Prep+Cooking time: 1 hour 15 minutes Servings: 8,"18 small Organic Oil-free Corn tortillas 1 ½ cups (1 15 oz. can) black beans 1 red pepper diced ½ red onion diced 1 zucchini diced 2 cups vegan cheese sauce Mexican-Style Veggie Mushrooms: 5 cups of Lions Mane 2 tbsp coconut aminos 2 tsp garlic granules 2 tsp paprika 1 tsp onion granules ½ tsp smoked paprika 1 tsp dried oregano 1 tsp cumin powder ½ tsp salt Enchilada Sauce: 3 tablespoon ground chili powder 3 teaspoon ground cumin 1.5 teaspoon garlic powder 1.5 teaspoon dried oregano 1.5 teaspoon salt, or to taste ⅓ cup tomato paste 7 cups vegetable broth 3 teaspoon apple cider vinegar Black pepper, to taste Optional: 1/2 tsp cinnamon PREPARE VEGGIES Cut all your veggies and set them aside. PREPARE THE MUSHROOMS Heat cast iron or stick free skillet to medium-high heat. Add mushrooms. Use “pressing technique” as shown here. Once most of the water has cooked off, add spice mixture and continue to cook for 2-3 minutes. PREPARE SAUCE Whisk spices tomato paste, broth and ACV over medium high heat. Allow to simmer for 10 minutes or until reduced and slightly thickened.  LAYER In a 9x13 pan start by adding a small amount of sauce to the bottom of your pan. Use 6 small (or fewer large ones) tortillas to create a layer. Use half of your cut veggies and mushrooms to cover your layer, then add sauce and HV cheese and cover with another 6 tortillas. Use the rest of your veggies and mushrooms, add sauce and HV cheese. Finally, top with the last of your enchilada sauce and HV cheese sauce. BAKE AND SERVE   Bake at 350 F covered for 15 minutes, then uncovered and bake for another 10 minutes or until the sauce is thick. Enjoy! Peach-Mango Pie ",-1,-1
Peach-Mango Pie,Prep+Cooking time: 1 hour  Servings: 1 9” Pie,Pie Crust 1 ¼ cup fine almond flour ⅓ cup arrowroot powder 2 tbsp ground flax 5 tbsp water 1/4 tsp salt or to taste FILLING 3 ripe peaches 2 ataulfo mangos  ¼ cup date paste 1 tsp cinnamon 1 tbsp arrowroot 2 tbsp water TOPPING 1 cup nuts of choice (I use walnuts and pecans) 2 medjool dates 1/2 tsp vanilla extract ,Food Processor 9” Glass Pie Pan ,"PREPARE PIE CRUST Mix ground flax and water and set aside. Combine almond flour, arrowroot, and salt together in a bowl.  Add the flax mixture and mix with a spoon until it begins to come together. Use your hands to bring it all together to form a ball of dough.  Place the ball of dough between 2 sheets of parchment paper to roll. Roll to fit a 9-inch pie pan.  Poke the crust with a fork, cover and place it in the freezer for 20 minutes.  In the meanwhile, preheat the oven to 400 F. Cover the pie crust with parchment and use pie weights or other heat-safe material to weigh the crust down. Bake for 15 minutes.  PREPARE THE FILLING Peel and cut peaches and mangos into ¼-inch thick slices. Add cut fruit and all other ingredients to the bowl and mix. Add filling mixture to the pie crust. Bake at 375 F covered for 20-25 mins Uncover and bake for an additional 5-10 minutes. Let cool for 10 minutes. TOP AND SERVE Add ingredients to a food processor and process to a coarse crumb. Top pie with nut crumbs. Enjoy! "
Taco Bowl,Prep+Cooking time: 30 minutes  Servings: 2,3 cups of Lions Mane (measured after broken into small pieces) 2 tbsp coconut aminos 2 tsp garlic granules 2 tsp paprika 1 tsp onion granules ½ tsp smoked paprika 1 tsp dried oregano 1 tsp cumin powder ½ tsp salt VEGGIES 2 cups chopped lettuce 1 cup organic sweet corn 1 cup cherry tomatoes 2 cups cooked quinoa ½ cup vegan cheese sauce 1 cup guacamole OPTIONAL TO MAKE YOUR OWN...  HV cheese sauce HV Guacamole ,Well-Seasoned Cast Iron Pan ,"PREPARE THE MUSHROOMS Heat cast iron pan to medium-high heat. Add mushrooms. Use pressing technique as shown in the video. Once most of the water has cooked off, add coconut aminos and spice mixture and continue to cook for 2-3 minutes. ASSEMBLE THE BOWL Add cooked quinoa to a bowl. Top with no chick’n, guacamole, corn, tomatoes, lettuce. Pour cheese sauce on top. Enjoy! BATCH 3 (15) "
 Blueberry Lemonade,Prep+Cooking time: 10  minutes Servings: 2,1 pint fresh blueberries 2 apples  1 lemon peeled ,Juicer INSTRUCTIONS JUICE AND SERVE Process the ingredients through a juicer. Enjoy! Peach-Cherry Sorbet 10 oz. frozen peaches Half a cup of pitted cherries COOKING TOOLS Kuvings REVO830 Juicer Blank Sorbet attachment ,JUICE AND SERVE Allow frozen fruit to thaw for 10 minutes. Process the ingredients through the Kuvings Revo830 using the sorbet attachment. Enjoy! 
Omega Milk,Prep+Cooking time: 10  minutes Servings: 4,Ingredients: 2 cups walnuts ½ cup soaked hemp hearts ¼ soaked flaxseeds 5 cups water ,Kuvings Juicer OR High Speed Blender ,Soak the nuts and seeds for a minimum of 4 hours. Process your ingredients through your juicer alternating nuts and seeds with water.  If using a blender. Blend until completely smooth and strain through a nut milk bag. 
Berry-Dragon Fruit Sorbet,Prep+Cooking time: 10  minutes Servings: 2,10 oz. Frozen raspberries 10oz. Frozen blackberries Dragon fruit for garnish ,Kuvings REVO830 Juicer Blank Sorbet attachment ,Allow your fruit to sit at room temperature for 10 minutes. Process your ingredients through your Kuvings REVO830 juicer using the blank sorbet attachment alternating raspberries and blackberries. Top with cut dragon fruit. 
Watermelon-Mint Refresher,Prep+Cooking time: 10  minutes Servings: 2,1/2 of a medium size watermelon 1 lime ¼ cup  fresh mint ,Juicer ,JUICE AND SERVE Process the ingredients through a juicer. Enjoy! 
Watermelon-Berry Float,Prep+Cooking time: 10  minutes Servings: 4,Watermelon Juice: 1/2 of a medium size watermelon 1 lime ¼ cup fresh mint 2 cups carbonated water Berry Sorbet: 10 oz. Frozen raspberries 10oz. Frozen blackberries Dragon fruit for garnish ,Kuvings REVO830 Juicer Blank Sorbet attachment ,PREPARE THE JUICE Process the juice  ingredients through a juicer. PREPARE THE SORBET Allow your fruit to sit at room temperature for 10 minutes. Process your ingredients through your Kuvings REVO830 juicer using the blank sorbet attachment alternating raspberries and blackberries.  PUT YOUR FLOAT TOGETHER: Fill a cup half way with half watermelon juice and half carbonated water. Add scoops of berry sorbet. Top with dragon fruit. Enjoy! 
Blueberry Protein Shake,Prep+Cooking time: 10 minutes Servings: 1,1 cup fresh or frozen blueberries ½ tsp vanilla 3 tbsp hemp hearts 2 tsp ground golden flax (or brown flax if you like the flax taste) 2 tsp ground chia 2-3 dates 1 cup plant milk ½ cup ice (optional if using fresh blueberries) ,High-Speed Blender Seed Grinder ,Add all the ingredients to a blender. Blend until smooth.  Enjoy! 
Veggie-Ground Nachos,Prep+Cooking time: 30 minutes  Servings: 2,CHIPS 6 Organic Corn Tortillas Lime juice TOPPINGS 1 cup veggie ground ¼ cup red onions diced ½ cup black beans ½ cup vegan cheese ¼ cup vegan sour cream RED SAUCE 4 roma tomatoes ½ white onion 1 jalapeno peppers 2 cloves garlic 1 tsp oregano ½ tsp black pepper 1 tsp chili powder 1/2 tsp cumin powder 1 dates Optional: Chives OPTIONAL TO MAKE YOUR OWN… HV cheese HV sour cream ,Baking sheet Parchment High-speed blender ,"Preheat oven to 350 F PREPARE SALSA Combine ingredients in a high-speed blender. Blend until smooth. PREPARE THE CHIPS Cut tortillas into 6 pieces. Spread cut tortillas on a parchment-lined baking sheet. Lightly brush the tortillas with lime juice. Bake for 10-12 minutes or until crispy and golden. FINISH AND SERVE Top tortilla chips with red salsa,  veggie ground, onions, black beans, vegan cheese, and vegan sour cream. Optionally garnish with chives. Enjoy! "
Stuffing,Prep+Cooking time: 1 hr  Servings: 6,"12 slices of average size loaf bread (oil, wheat, and refined sugar-free) 1 1/2 – 2 cups vegetable broth, more as needed (low sodium and oil-free) 3 celery ribs, thinly sliced 1 medium carrot, peeled, thinly chopped 2/3 cup raisins ( or other dried fruit of choice) 1 medium yellow onion, diced 3 cloves fresh garlic, minced 2 tsp dried oregano 2 tsp dried rosemary 2 tsp dried thyme 2 tsp dried sage ¼ tsp black pepper 2 tsp salt ",Baking Sheet 8x10 Baking Pan Skillet ,"PREPARE BREAD Begin by slicing your bread into 1-1.5 inch squares. Add them to a baking sheet and bake at 350 for 10-15 minutes to dry them out some. COOK VEGGIES Prepare all your veggies. Add a small amount of broth or water to a skillet. Add your veggies and sauté on medium heat until cooked (add extra broth or water as necessary to avoid sticking). Add your seasoning and allow it to cook for an additional 3-5 minutes. COMBINE AND BAKE Add dried bread, veggies, and dried fruit to a large bowl. While mixing, gradually add broth. You want to add enough to moisten everything, but you don’t want any sitting liquid. Once your mixture is moist enough to hold together, add it to a glass 8x10 pan. Cover and bake at 375 F for 25-30 minutes, or until lightly browned on the edges. Remove the cover for the last 5 minutes if you like crispy spots. Enjoy! "
Cranberry Sauce,Prep+Cooking time: 1 hr  Servings: 6,12 oz bag fresh or frozen cranberries 1 ½ cups date paste 1 cup water Half a cinnamon stick 1 tsp orange zest ,Saucepan ,"Add cranberries, orange zest, cinnamon stick, date paste, and water to a pot. Bring to a simmer. Cook for 10 minutes or until cranberries start to pop. Transfer to a bowl and allow to cool for 15 minutes. Use an immersion blender to rough blend. Mix and allow to fully cool. **This sauce can be made in advance and stored in the fridge for up to 1 week. Enjoy! "
Cherry Chia Pudding,Prep+Cooking time: 10  mins Servings: 1 serving,"1 cup fresh pitted cherries (frozen works also) divided ½ cup plant-milk 2 pitted Medjool dates 3 tbsp chia seeds (I used white ones for this, but black work) Optional: Fresh raspberries to top ",High-speed blender ,"BLEND Combine ½ cup cherries, plant milk, and dates in a blender. Blend until smooth. ADD CHIA Add chia seeds and mix with a spoon.  FINISH AND SERVE MIx in whole cherries. Pour into a cup and refrigerate for 1+ hours. Enjoy! "
Nut-Free Pesto,Prep+Cooking TIme: 10 mins  Yield: 2 cups,4 oz fresh basil 1 avocado ¼ cup pumpkin seeds 2 cloves garlic 4 tbsp nutritional yeast 1 tsp salt or to taste ½ lemon juiced  Water to consistency ,Food Processor ,Place all the ingredients in a food processor. Add water gradually. Blend until desired consistency is achieved.  
Nut-free Caesar Dressing,Prep+Cooking TIme: 10 mins  Yield: 1 cup,½ cup raw sunflower seeds ¼ cup + 3 tablespoons water 2 tbsp lemon juice 2 tbsp nutritional yeast 1/4 tsp dulse flakes 2 cloves garlic 1 medjool date 1/4 tsp pepper 1 tsp salt 1/2 tsp parsley ,High-speed Blender ,Combine all ingredients in a high-speed blender. Blend until smooth. Enjoy! 
Mango Vinaigrette,Prep+Cooking TIme: 10 mins  Yield: 1 ½ cups,1 large ataulfo mango 1 tbsp apple cider vinegar 1 tbsp coconut aminos 1 clove garlic  ½ tsp smoked paprika ½ cup water ,High-speed Blender ,Combine all ingredients in a high-speed blender. Blend until smooth. Enjoy! 
Nut-Free Mayo,Prep+Cooking TIme: 10 mins  Yield: 2 cups,½ cup cannellini beans ½ cup sunflower seeds ¼ - ½ cup water 1 tbsp lemon juice 1 tbsp apple cider vinegar 1 tsp Dijon mustard 1 tsp garlic granules ½ tsp onion powder ¼ -½ tsp salt ,High-Speed Blender ,Place all the ingredients in a high-speed blender. Add water gradually. Blend until mayo-like consistency is achieved. Store in the fridge for up to 7 days. BATCH 4 (56) 
Vegan Mushroom Bacon,Prep+Cooking time: 30 minutes Servings: 3,12 oz Trumpet mushrooms  4 tbsp coconut aminos 1 tsp smoked paprika ½ tsp garlic ½ tsp onion powder Optional: ¼ tsp chipotle  ,Square pan or container Baking Sheet Parchment Paper Knife Fork ,"Preheat the oven to 375 F. PREPARE THE MARINADE Combine the coconut aminos and seasonings in a square shallow pan. Mix to combine PREPARE THE MUSHROOMS Cut mushrooms into 3-4 mm thick pieces. Pierce the pieces of mushrooms with a fork. Dip the mushrooms in the marinade to thoroughly coat each side. Place mushrooms on a parchment lined baking sheet. BAKE Bake for 15 minutes, flip and bake for an additional 5-10 minutes or until the edges are crispy.  Remove from the pan before completely cooled. Enjoy! "
Nut-free Golden Mayo,Prep+Cooking TIme: 10 mins  Yield: 2 cups,½ cup cannellini beans ½ cup sunflower seeds ¼ - ½ cup water 1 tbsp lemon juice 1 tbsp apple cider vinegar 1 tsp Dijon mustard 1 tsp garlic granules ½ tsp onion powder 1 tsp turmeric ½ tsp ginger powder ⅛ tsp black pepper 1 date ¼ -½ tsp salt ,High-Speed Blender ,Place all the ingredients in a high-speed blender. Add water gradually. Blend until mayo-like consistency is achieved. Store in the fridge for up to 7 days. 
Nut-Free Chipotle Mayo,Prep+Cooking TIme: 10 mins  Yield: 2 cups,½ cup cannellini beans ½ cup sunflower seeds ¼ - ½ cup water 1 tbsp apple cider vinegar 2 tsp lime juice 1 tsp Dijon mustard 1 tsp garlic granules ½ tsp onion powder 1 tsp chili powder 1 tsp smoked paprika ¼ tsp Chipotle powder ¼ -½ tsp salt ,High-Speed Blender ,Place all the ingredients in a high-speed blender. Add water gradually. Blend until mayo-like consistency is achieved. Store in the fridge for up to 7 days. 
Nut-free Pesto Mayo,Prep+Cooking TIme: 10 mins  Yield: 2 cups,½ cup cannellini beans ½ cup sunflower seeds ¼ cup water ¼ cup pesto 1 tbsp lemon juice 1 tbsp apple cider vinegar 1 tsp Dijon mustard 1 tsp garlic granules ½ tsp onion powder ¼ -½ tsp salt ,High-Speed Blender ,Place all the ingredients in a high-speed blender. Add water gradually. Blend until mayo-like consistency is achieved. Store in the fridge for up to 7 days. 
Pineapple & Papaya Salsa,Prep+Cooking time: 20 mins  Servings: 4,1 cup diced pineapple 1 cup diced papaya ¼ cup white onion 1 clove garlic ¼ tsp smoked paprika ½ cup chopped cilantro ½ of a lime ,Knife Mixing Bowl ,Combine your chopped ingredients in a bowl. Mix to combine. Enjoy! 
Solid Cheese,Prep+Cooking time:10 minutes Yields: approx. 8x4 inch mold,STEP 1 ½ cup soaked cashews (soaked for a min. of 2 hrs) 1 ¼ cup water 4 tbsp arrowroot powder ⅛ tsp garlic 1 tsp salt 2 tsp lemon juice 1 tsp apple cider vinegar 1 tbsp nutritional yeast STEP 2 3 tsp agar powder 1 cup water ,Saucepan High-speed blender Mold or container equivalent to 8x4 inches STEP-BY-STEP INSTRUCTIONS Combine all STEP 1 ingredients in a high-speed blender. Blend until smooth. ,Return this mixture to a saucepan and cook until thick. Add to mold or container. Allow to set in the fridge for 3+hrs. 
Bacon and Ranch Cauliflower Crust Pizza,Prep+Cooking time: 45  minutes Yields: 1 12” pizza,CRUST: 4 cups cauliflower florets  ( approx. ½ a large head of cauliflower) 2.5 tbsp ground flax or chia 1/4 cup water 1/3 cup almond flour or oat flour 1 tsp Italian seasoning 1/2 tsp garlic powder 1/2 tsp salt TOPPINGS: ⅓ cup vegan bacon cut into smaller pieces ½ cup caramelized onions ½ cup vegan ranch dressing ½ pint cherry tomatoes ¼ cup vegan cheese sauce OPTIONAL TO MAKE YOU OWN HV Mushroom Bacon HV Dill Ranch Dressing HV Cheese Sauce ,Pot or Steamer Fine cheesecloth or nut milk bag Parchment Paper  Rolling Pin ,"Cut your cauliflower into small florets. Steam until the florets are soft and fall apart. Combine ground flax and cold water and set aside to thicken. Combine remaining crust ingredients in a bowl. Once cauliflower is cooled enough press and drain using cheesecloth or nut milk bag until the cauliflower is as dry as possible. Combine strained cauliflower with remaining crust ingredients and mix well. Form mixture into two balls. Place the ball onto a piece of parchment paper, place another sheet on top and roll until ¼ inch thick. Alternatively press with your hands into a circle. Bake at 450 F for 20-25 minutes or until lightly browned. Add your toppings except for the cheese sauce.  Bake for an additional 8- 10 minutes. Drizzle with cheese sauce. Enjoy! "
Lemon-Blueberry Cake,Prep+Cooking TIme: 1hr 15mins  Yield: 9 inch cake pan,Dry Ingredients: 2 cups almond flour 1 ¼ cups oat flour (I use organic glyphosate-free oats that I grind in the blender) 2 tsp baking powder 1 tsp baking soda 1/2 tsp turmeric 1 ½ cups fresh blueberries Wet Ingredients: ½ cup lemon juice 1 cup pitted Medjool dates 1 cup plant-based milk 1 1/2 tsp vanilla extract 1 tbsp lemon zest Blueberry Topping: 10 oz frozen wild blueberries 3 dates 2 tsp vanilla Water to thin to a pourable consistency Optional: ½ cup toasted desiccated coconut ,9” cake pan Mixing bowls Parchment paper saucepan ,"Preheat the oven to 350 F. DRY INGREDIENTS Combine all the dry ingredients in a bowl and whisk to combine. WET INGREDIENTS In a blender combine dates, plant milk, lemon juice, and vanilla extract. Blend until smooth. Whisk in zest. FINISHING THE BATTER Add the wet ingredients to the dry ingredients. Mix to combine. Add blueberries and mix just to combine. Pour batter into a parchment-lined 9 “ pan. GET IN THE OVEN Bake for 20 minutes and reduce oven temperature to 325 F. Continue to bake for an additional 15 minutes, or until edges are browned and top it “firm” when pressed gently. PREPARE BLUEBERRY TOPPING Combine all the ingredients in a saucepan on medium low heat. Bring to a simmer for 15-20 minutes or until thick and glossy. Allow to cool. Blend until smooth, add water to adjust consistency. FINISHING IT UP! Allow the cake to cool in the pan until warm (about 20 minutes). Remove and pour blueberry sauce over top. Optionally sprinkle with toasted coconut. Enjoy! "
Simple HV Tomato Sauce,Prep+Cooking time: 30  minutes  Yields: 1L,Sauce: 1 quart of tomato puree 3 cloves of crushed garlic minced 3 tsp dried basil ¾  tsp oregano ¾  tsp Salt Pepper to taste INSTRUCTIONS ,-1,Add a small amount of water (2-3 tbsp) to a saucepan. Heat on medium until water is simmering. Add garlic and let simmer for a couple of minutes. Add tomato purée and seasoning. Simmer for 20 minutes. Use with any dish that calls for tomato sauce. 
No-Meatball Gyro,Prep+Cooking time: 45 minutes Servings: 2,2 soft flatbread or pita bread Veggie Meatballs: 3 cups veggie ground  3 tbsp psyllium husk powder OR 4 tbsp psyllium husks 3 tbsp arrowroot powder 2 tbsp chickpea flour 1/2 tsp salt ½ tsp garlic granules  Tzatziki Sauce: 1 cup raw cashews (soaked for min. 2 hours) ½- ¾ cups water OR cucumber juice from straining the grated cucumber 1 ½ tbsp lemon juice ½ tbsp apple cider vinegar 2 tbsp fresh dill chopped  2 cloves garlic ½ tsp salt OR TO YOUR TASTE Black pepper to taste 1 European cucumber grated and strained OPTIONAL TO MAKE YOUR OWN… HV Soft Flatbread ,Mixing bowls High-speed blender Baking sheet  Parchment paper ,"PREPARE VEGGIE MEATBALLS Preheat the oven to 350 F. Combine and mix your ingredients in a bowl. Divide into 8 portions (for large ones) Roll into balls. Place rolled balls on parchment paper. Bake for 20 minutes. PREPARE THE SAUCE Combine soaked cashews, lemon juice, apple cider vinegar garlic, salt and pepper and blend until smooth add grated cucumber and chopped dill. FINISH AND SERVE Assemble Gyro by topping a soft flatbread with veggie meatballs, fresh tomatoes, and tzatziki sauce. Wrap and enjoy! "
Sweet Potato & Avocado Quesadilla,Prep+Cooking time: 30 mins  Servings: 2,2 tortillas 1 avocado ½ cup black beans ½ cup vegan cheese Filling: 1 large baked sweet potato 1 tsp chili powder ¼ tsp smoked paprika ½ tsp cumin Pinch cayenne 2 tbsp nutritional yeast ¼ tsp salt OPTIONAL TO MAKE YOUR OWN… HV Flatbread HV Cheese Sauce ,Knife Mixing bowl Fork Skillet ,PREPARE THE FILLING Combine the ingredients in a bowl. Mash and mix until combined. PUTTING THE QUESADILLAS TOGETHER Begin by spreading a generous layer of filling on half of the flatbread. Top with avocado and black beans. Add cheese sauce. Fold the other half over. COOK AND SERVE Heat skillet over medium and add quesadillas. Cook until lightly browned. Enjoy! 
Mango-Tomato Salsa Verde,Prep+Cooking time: 30 minutes  Yields: 3 cups,10-12 medium tomatillos 1 serrano pepper (adjust to taste) 1 large jalapeno (adjust to taste) 1 ½ garlic cloves ½ onion 1 ½ bunches of cilantro (1 bunch for blending and ½ bunch chopped) 1 tsp salt 1 large tomato diced small 2 ataulfo mangos diced small ,Pot High-speed blender ,"COOK THE VEGGIES Boil hot peppers, garlic, and onion for 15 minutes or until soft.  Add tomatillos to the pot with the pepper, onion, and garlic. Allow to cook until tomatillos turn yellowish-olive green. Do not overcook. Once they start to change color, remove the pot from the heat. The tomatillos will finish cooking in the hot pot. BLEND AND SERVE Combine all your ingredients except for the mango and tomato in a food processor or blender. Add diced mango and tomato to your salsa verde, and mix to combine. Enjoy! "
Enchiladas,Prep+Cooking time: 30 minutes  Servings: 3,"10 organic corn tortillas 1 ½ cups black beans 2 cups vegan cheese sauce  Enchilada Sauce: 2 tbsp ground chili powder 2 tsp ground cumin 1 tsp garlic powder 1 tsp dried oregano 1  tsp salt, OR to taste 5 tbsp tomato paste 5 cups vegetable broth (oil-free, low sodium) 2 teaspoon apple cider vinegar Black pepper, to taste Optional: ¼  tsp cinnamon Mexican Veggie Chicken: 3 cups of Lions Mane broken into small pieces 2 tbsp coconut aminos 2 tsp garlic granules 2 tsp paprika 1 tsp onion granules ½ tsp smoked paprika 1 tsp dried oregano 1 tsp cumin powder ½ tsp salt PREPARE THE SAUCE Whisk spices tomato paste, broth, and ACV over medium-high heat. Allow to simmer for 10 minutes or until reduced and slightly thickened. PREPARE THE MUSHROOMS Heat cast iron skillet to medium-high heat. Add mushrooms. Use a burger press or other weighted pan to press and encourage mushrooms to release their water. Once most of the water has cooked off, add the spice mixture and continue to cook for 2-3 minutes. ASSEMBLE THE ENCHILADAS Cover and heat tortillas to soften and prevent cracking. Dip each tortilla into enchilada sauce. You can dip them and stack them, or assemble them one at a time. Fill each dipped tortilla with veggie chick’n, black beans, and a drizzle of cheese sauce. Roll and place seam-side down in a 9x13-inch glass baking pan. Pour enchilada sauce on top and drizzle with extra cheese sauce. BAKE AND SERVE Bake at 350 F for 15-20 minutes. Enjoy! Cherry BBQ Sauce ",-1,-1
Cherry BBQ Sauce,Prep+Cooking TIme: 30 mins  Yield: 3 cups,"¼ cup broth  1 medium onion chopped  2 garlic cloves minced  2 cups dark sweet pitted cherries  1 cup oil-free, RF Sugar-free ketchup  ⅓ cup date syrup  ¼ cup apple cider vinegar  2 tbsp coconut aminos  2 tbsp Dijon mustard  ½ tsp smoked paprika  1/2 tsp black pepper  ","Saucepan Immersion blender, or blender ",Heat the broth in a saucepan on medium-high. Add the onions and garlic and cook until soft. Add the remaining ingredients and simmer for about 20 minutes. Allow to cool and blend until smooth. Enjoy!  
Spicy Mango Buffalo Sauce,Prep+Cooking TIme: 20 mins  Yield: 2 cups,¼ cup hot sauce (This will be spicy. Please use less for milder flavor)  ½ cup water 2 mangoes diced  ½ cup water  2 tbsp date syrup  2 tsp apple cider vinegar  1 tbsp coconut aminos  1 tsp garlic powder  ¼ cup raw cashews (soaked 2 hrs minimum)  ,"Saucepan Immersion blender, or regular blender ","Combine all the ingredients except for the cashews in a saucepan. Simmer for 10 minutes. Add cashews, let cool, then blend until smooth. Enjoy! "
